# == pyFAI calibration ==
# Distance Sample to Detector: 2.9997704 m
# PONI: 4.785e-01, 4.477e-01 m
# Rotations: 0.000000 0.000000 0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 2999.770 mm
# Center: x=59.700, y=63.800 pix
# Tilt: 0.000 deg  TiltPlanRot: 0.000 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 7.500e-03, 7.500e-03 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.99764e-10 m
# Mask applied: user provided
# Dark current applied: False
# Flat field applied: False
# Polarization factor: None
# Normalization factor: 1
# --> AL_P188_Px10mgml_f5370359_r1d.csv
#        q_A^-1              I           sigma 
  2.099548e-01    4.582067e+01   1.315054e+00
  2.104967e-01    4.613103e+01   1.318267e+00
  2.110386e-01    4.620112e+01   1.299664e+00
  2.115805e-01    4.579722e+01   1.263297e+00
  2.121224e-01    4.564306e+01   1.300536e+00
  2.126643e-01    4.532235e+01   1.296830e+00
  2.132062e-01    4.529937e+01   1.348394e+00
  2.137481e-01    4.531166e+01   1.363218e+00
  2.142900e-01    4.558596e+01   1.365397e+00
  2.148319e-01    4.578966e+01   1.365156e+00
  2.153738e-01    4.570394e+01   1.383822e+00
  2.159157e-01    4.578581e+01   1.411194e+00
  2.164576e-01    4.612457e+01   1.389634e+00
  2.169995e-01    4.628965e+01   1.409830e+00
  2.175414e-01    4.604696e+01   1.403925e+00
  2.180834e-01    4.583465e+01   1.455805e+00
  2.186253e-01    4.537662e+01   1.499081e+00
  2.191672e-01    4.518172e+01   1.532720e+00
  2.197091e-01    4.513647e+01   1.514653e+00
  2.202510e-01    4.512555e+01   1.504192e+00
  2.207929e-01    4.472625e+01   1.489734e+00
  2.213348e-01    4.483805e+01   1.499575e+00
  2.218767e-01    4.514540e+01   1.486082e+00
  2.224186e-01    4.547429e+01   1.470430e+00
  2.229605e-01    4.578540e+01   1.498010e+00
  2.235024e-01    4.569574e+01   1.476645e+00
  2.240443e-01    4.578502e+01   1.516198e+00
  2.245862e-01    4.586031e+01   1.632251e+00
  2.251281e-01    4.584059e+01   1.660473e+00
